Train,Val
0,2.57905
0.0710448,0.0232149
0.00646719,0.0128953
0.00193509,0.00142435
0.000698031,0.000253528
0.000365918,0.00515594
0.000231125,0.000251489
0.000156206,0.000161474
8.95311e-05,1.71109e-05
7.72141e-05,3.80629e-05
5.89705e-05,2.01521e-05
4.29432e-05,8.08295e-06
4.14436e-05,4.24404e-05
2.95381e-05,1.88892e-05
2.48853e-05,0.00065044
0.000145122,4.34106e-06
1.47189e-05,5.61582e-06
1.54575e-05,3.13449e-06
1.08119e-05,0.00761774
1.28644e-05,0.0150776
8.76531e-06,4.43064e-06
7.23619e-06,8.02276e-06
6.37507e-06,0.00978299
6.57962e-06,1.01212e-06
1.40363e-05,3.45682e-06
8.59108e-06,0.000122559
4.86129e-05,1.36939e-06
4.44351e-06,2.98109e-06
6.10807e-06,6.65129e-07
1.59827e-05,8.43941e-07
3.00521e-06,1.90321e-05
4.38077e-05,1.28325e-06
3.04875e-06,0.00150756
2.87215e-06,4.26144e-05
2.20623e-06,0.147173
2.25364e-06,2.41933e-07
2.2725e-06,2.89223e-06
3.15579e-06,3.23739e-07
1.81166e-06,2.62835e-07
1.9121e-06,3.42656e-07
1.71089e-06,5.31684e-07
2.43694e-06,1.45944e-06
2.26432e-06,2.94169e-06
1.44308e-06,0.0588021
1.08821e-06,7.13665e-07
3.84931e-06,5.18924e-07
4.89845e-05,1.1203e-06
1.3726e-06,1.28955e-06
1.04266e-06,7.54051e-07
1.29129e-06,1.87342e-07
1.4357e-06,8.28667e-07
1.25302e-06,2.5237e-07
1.66459e-05,1.11488e-06
4.10412e-06,0.00147572
1.36875e-06,7.34805e-07
1.43875e-06,2.99006e-06
1.08486e-06,0.000138504
3.82167e-06,0.000338759
1.15551e-06,1.02259e-05
3.04307e-06,0.00229522
5.606e-07,2.14695e-07
1.40188e-06,7.10157e-08
8.55618e-07,0.159091
8.32139e-05,0.0040869
7.59393e-05,2.74071e-07
6.79531e-07,2.82725e-07
1.12786e-06,4.81006e-08
6.76084e-07,7.47523e-07
2.35417e-06,3.01191e-06
0.000136424,5.98103e-05
1.1136e-06,8.44961e-05
5.51671e-07,0.00107054
1.04301e-06,2.9508e-05
9.84334e-07,0.00200876
4.38413e-07,0.0883352
5.79626e-07,8.60328e-07
1.90611e-06,4.94752e-07
9.76778e-07,4.81536e-07
3.46816e-06,2.31722e-08
4.64154e-07,2.09211e-06
4.40759e-07,1.06917e-07
1.31918e-06,4.46747e-08
6.12623e-07,1.49649e-07
1.98951e-06,0.00118321
6.21301e-05,3.40911e-08
4.55293e-07,2.50386e-07
9.66138e-07,2.52406e-07
0.000111542,2.72817e-06
3.75231e-06,8.16411e-07
6.55857e-07,6.87765e-08
3.70363e-07,4.40913e-08
7.37191e-06,3.86889e-07
2.63076e-07,1.91373e-07
1.97227e-06,3.01005e-05
3.29804e-07,2.05802e-08
0.000138611,3.70823e-07
3.69976e-07,1.29578e-05
3.55009e-07,5.38527e-05
1.26305e-06,6.29574e-07
7.32873e-06,8.6409e-08
4.87475e-05,8.73385e-08
3.69672e-07,7.11443e-05
2.7358e-07,4.10385e-08
3.07314e-07,6.59493e-08
2.53979e-07,3.53471e-07
3.90109e-07,1.43375e-08
5.04542e-06,1.1075e-06
4.67455e-07,0.00176507
4.06585e-07,3.5666e-05
3.06545e-07,4.83542e-08
1.31728e-06,3.20491e-07
2.17858e-07,5.16766e-07
